.ID. RootNode NumChildsRoot N0 N1 N2 N3 NumConds0 Action0 NumConds1 Action1 NumConds2 Action2 NumConds3 Action3 C0x0 C0x1 RWM0 ATT0 REP0 C1x0 C1x1 RWM1 ATT1 REP1 C2x0 C2x1 RWM2 ATT2 REP2 C3x0 C3x1 RWM3 ATT3 REP3 P0x0 B0x0 W0x0 BI0x0 WI0x0 P0x1 B0x1 W0x1 BI0x1 WI0x1 P1x0 B1x0 W1x0 BI1x0 WI1x0 P1x1 B1x1 W1x1 BI1x1 WI1x1 P2x0 B2x0 W2x0 BI2x0 WI2x0 P2x1 B2x1 W2x1 BI2x1 WI2x1 P3x0 B3x0 W3x0 BI3x0 WI3x0 P3x1 B3x1 W3x1 BI3x1 WI3x1 .PARENT.
998 998 0 3 0 0 0 <NA> 1 0 1 1 1 3 <NA> <NA> 0 NA 14 NA NA 2 NA NA NA NA 3 NA NA NA NA <NA> NA NA NA NA 0.63 NA NA NA NA NA NA NA NA NA 0.65 NA NA NA NA NA NA NA NA NA NA 7 1.07 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
383 383 0 2 0 0 <NA> <NA> 1 0 1 1 <NA> <NA> <NA> <NA> 0 NA 3 NA NA 3 NA NA NA NA <NA> NA NA NA NA <NA> NA NA NA NA 0.47 NA NA NA NA NA NA NA NA NA NA 10 2.17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
683 683 0 4 0 0 0 0 1 0 1 1 1 5 1 4 0 NA 34 NA NA 3 NA NA NA NA 4 NA NA NA 3.96 4 NA NA 1.3 NA 0.28 NA NA NA NA NA NA NA NA NA NA 4 8.99 NA NA NA NA NA NA NA NA NA NA 7 13.12 NA NA NA NA NA NA NA NA 10 4.48 NA NA NA NA NA NA
499 499 0 2 0 0 <NA> <NA> 1 0 1 1 <NA> <NA> <NA> <NA> 0 NA 4 NA NA 2 NA NA NA NA <NA> NA NA NA NA <NA> NA NA NA NA 0.17 NA NA NA NA NA NA NA NA NA 0.24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
332 332 0 4 0 0 0 0 1 1 1 0 1 1 1 4 1 NA NA NA NA 0 NA 76 NA NA 2 NA NA NA NA 4 NA NA 3.91 NA 0.33 NA NA NA NA NA NA NA NA NA 0.57 NA NA NA NA NA NA NA NA NA 0.74 NA NA NA NA NA NA NA NA NA NA NA NA 1 17.15 NA NA NA NA NA NA
574 574 0 4 0 0 0 0 1 0 1 1 1 1 1 4 0 NA 39 NA NA 0 NA NA NA NA 3 NA NA NA NA 5 NA NA 3.32 NA 0.93 NA NA NA NA NA NA NA NA NA 0.97 NA NA NA NA NA NA NA NA NA NA 2 4.02 NA NA NA NA NA NA NA 0.82 NA NA NA NA NA NA NA NA NA NA
350 350 0 3 0 0 0 <NA> 1 4 1 2 1 1 <NA> <NA> 0 NA NA 1.86 NA 1 NA NA NA NA 3 NA NA NA NA <NA> NA NA NA NA 0.6 NA NA NA NA NA NA NA NA NA 0.51 NA NA NA NA NA NA NA NA NA NA 6 2.99 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
473 473 0 4 0 0 0 0 1 0 1 0 1 1 1 0 1 NA 20 NA NA 0 NA 20 NA NA 2 NA NA NA NA 1 NA 50 NA NA 0.81 NA NA NA NA NA NA NA NA NA 0.72 NA NA NA NA NA NA NA NA NA 0.92 NA NA NA NA NA NA NA NA NA 0.98 NA NA NA NA NA NA NA NA NA NA
940 940 0 4 0 0 0 0 1 5 1 1 1 0 1 1 0 NA NA NA 4.93 3 NA NA NA NA 3 NA 98 NA NA 0 NA NA NA NA 0.23 NA NA NA NA NA NA NA NA NA NA 4 13.37 NA NA NA NA NA NA NA NA 1 11.31 NA NA NA NA NA NA NA 0.02 NA NA NA NA NA NA NA NA NA NA
688 688 0 3 0 0 0 <NA> 1 0 1 1 1 3 <NA> <NA> 0 NA 14 NA NA 3 NA NA NA NA 4 NA NA NA NA <NA> NA NA NA NA 0.23 NA NA NA NA NA NA NA NA NA NA 3 5.18 NA NA NA NA NA NA NA NA NA NA 9 16.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
