.ID. RootNode NumChildsRoot N0 N1 N2 N3 NumConds0 Action0 NumConds1 Action1 NumConds2 Action2 NumConds3 Action3 C0x0 C0x1 RWM0 ATT0 REP0 C1x0 C1x1 RWM1 ATT1 REP1 C2x0 C2x1 RWM2 ATT2 REP2 C3x0 C3x1 RWM3 ATT3 REP3 P0x0 B0x0 W0x0 BI0x0 WI0x0 P0x1 B0x1 W0x1 BI0x1 WI0x1 P1x0 B1x0 W1x0 BI1x0 WI1x0 P1x1 B1x1 W1x1 BI1x1 WI1x1 P2x0 B2x0 W2x0 BI2x0 WI2x0 P2x1 B2x1 W2x1 BI2x1 WI2x1 P3x0 B3x0 W3x0 BI3x0 WI3x0 P3x1 B3x1 W3x1 BI3x1 WI3x1 .PARENT.
338 338 0 3 0 0 0 <NA> 1 1 1 3 1 0 <NA> <NA> 1 NA NA NA NA 4 NA NA NA NA 3 NA 4 NA NA <NA> NA NA NA NA 0.35 NA NA NA NA NA NA NA NA NA NA NA NA 3 12.6 NA NA NA NA NA NA 7 17.55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
449 449 0 2 0 0 <NA> <NA> 1 3 1 0 <NA> <NA> <NA> <NA> 5 NA NA NA NA 2 NA 1 NA NA <NA> NA NA NA NA <NA> NA NA NA NA 0.23 NA NA NA NA NA NA NA NA NA 0.67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
781 781 0 3 0 0 0 <NA> 1 0 1 2 1 3 <NA> <NA> 3 NA 3 NA NA 1 NA NA NA NA 1 NA NA NA NA <NA> NA NA NA NA NA 8 4.09 NA NA NA NA NA NA NA 0.11 NA NA NA NA NA NA NA NA NA 0.89 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
870 870 0 3 0 0 0 <NA> 1 3 1 0 1 2 <NA> <NA> 1 NA NA NA NA 0 NA 9 NA NA 2 NA NA NA NA <NA> NA NA NA NA 0.34 NA NA NA NA NA NA NA NA NA 0.74 NA NA NA NA NA NA NA NA NA 0.55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
37 37 0 3 0 0 0 <NA> 1 0 1 1 1 3 <NA> <NA> 3 NA 4 NA NA 5 NA NA NA NA 2 NA NA NA NA <NA> NA NA NA NA NA 10 7.77 NA NA NA NA NA NA NA 0.63 NA NA NA NA NA NA NA NA NA 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
178 178 0 2 0 0 <NA> <NA> 1 0 1 3 <NA> <NA> <NA> <NA> 0 NA 3 NA NA 4 NA NA NA NA <NA> NA NA NA NA <NA> NA NA NA NA 0.04 NA NA NA NA NA NA NA NA NA NA NA NA 5 0.87 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
76 76 0 2 0 0 <NA> <NA> 1 0 1 3 <NA> <NA> <NA> <NA> 2 NA 4 NA NA 5 NA NA NA NA <NA> NA NA NA NA <NA> NA NA NA NA 0.72 NA NA NA NA NA NA NA NA NA 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
508 508 0 2 0 0 <NA> <NA> 1 0 1 4 <NA> <NA> <NA> <NA> 0 NA 4 NA NA 4 NA NA 2.57 NA <NA> NA NA NA NA <NA> NA NA NA NA 0.96 NA NA NA NA NA NA NA NA NA NA NA NA 9 7.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1014 1014 0 3 0 0 0 <NA> 1 3 1 0 1 5 <NA> <NA> 5 NA NA NA NA 3 NA 6 NA NA 0 NA NA NA 2.8 <NA> NA NA NA NA 0.55 NA NA NA NA NA NA NA NA NA NA 9 16.89 NA NA NA NA NA NA NA 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
301 301 0 3 0 0 0 <NA> 1 0 1 5 1 2 <NA> <NA> 3 NA 5 NA NA 2 NA NA NA 3.86 0 NA NA NA NA <NA> NA NA NA NA NA 5 11.79 NA NA NA NA NA NA NA 0.98 NA NA NA NA NA NA NA NA NA 0.96 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
