.ID. NumStates S0 NumConnections0 S1 NumConnections1 S2 NumConnections2 S3 NumConnections3 RWM0 ATT0 REP0 N0x0 C0x0 N0x1 C0x1 N0x2 C0x2 N0x3 C0x3 RWM1 ATT1 REP1 N1x0 C1x0 N1x1 C1x1 N1x2 C1x2 N1x3 C1x3 RWM2 ATT2 REP2 N2x0 C2x0 N2x1 C2x1 N2x2 C2x2 N2x3 C2x3 RWM3 ATT3 REP3 N3x0 C3x0 N3x1 C3x1 N3x2 C3x2 N3x3 C3x3 P0x0 B0x0 W0x0 BI0x0 WI0x0 P0x1 B0x1 W0x1 BI0x1 WI0x1 P0x2 B0x2 W0x2 BI0x2 WI0x2 P0x3 B0x3 W0x3 BI0x3 WI0x3 P1x0 B1x0 W1x0 BI1x0 WI1x0 P1x1 B1x1 W1x1 BI1x1 WI1x1 P1x2 B1x2 W1x2 BI1x2 WI1x2 P1x3 B1x3 W1x3 BI1x3 WI1x3 P2x0 B2x0 W2x0 BI2x0 WI2x0 P2x1 B2x1 W2x1 BI2x1 WI2x1 P2x2 B2x2 W2x2 BI2x2 WI2x2 P2x3 B2x3 W2x3 BI2x3 WI2x3 P3x0 B3x0 W3x0 BI3x0 WI3x0 P3x1 B3x1 W3x1 BI3x1 WI3x1 P3x2 B3x2 W3x2 BI3x2 WI3x2 P3x3 B3x3 W3x3 BI3x3 WI3x3 .PARENT.
91 91 2 0 1 1 1 <NA> NA <NA> NA 98 NA NA 0 0 NA <NA> NA <NA> NA <NA> NA NA NA 0 2 NA <NA> NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> 0.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
777 777 4 0 3 4 4 4 1 1 2 98 NA NA 1 1 2 0 0 0 NA <NA> NA 3.76 NA 1 1 2 2 2 4 2 0 NA 4.39 NA 0 5 NA <NA> NA <NA> NA <NA> NA NA NA 1 3 0 2 NA <NA> NA <NA> 0.28 NA NA NA NA 1 NA NA NA NA 0 NA NA NA NA NA NA NA NA NA 0.29 NA NA NA NA 0.66 NA NA NA NA NA NA NA 6 16.43 0.25 NA NA NA NA 0.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6 7.34 NA NA 0.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
22 22 3 2 3 3 2 1 2 <NA> NA NA NA NA 0 4 0 3 1 2 NA <NA> NA NA NA 1 0 0 5 NA <NA> NA <NA> NA NA NA 1 2 0 2 NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> NA NA NA 9 5.76 NA 9 13.68 NA NA 0.89 NA NA NA NA NA NA NA NA NA 0.09 NA NA NA NA 0.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.6 NA NA NA NA 0.73 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
904 904 4 0 1 2 4 1 1 5 4 4 NA NA 2 0 NA <NA> NA <NA> NA <NA> NA NA NA 1 1 2 3 1 4 0 1 NA NA NA 2 2 NA <NA> NA <NA> NA <NA> NA NA 1.44 1 4 0 3 2 1 2 2 0.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.65 NA NA NA NA NA 1 10.85 NA NA NA NA NA 1 2.85 0.26 NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 0.66 NA 4 9.02 NA NA 0.75 NA NA NA NA 0.7 NA NA NA NA NA
810 810 4 4 4 0 4 5 4 1 1 NA 2.19 NA 2 2 1 1 1 4 0 5 87 NA NA 2 0 2 0 0 3 0 5 NA NA 2.35 2 3 1 1 0 3 1 1 NA NA NA 2 2 NA <NA> NA <NA> NA <NA> 0.51 NA NA NA NA 0.2 NA NA NA NA NA NA NA 2 12.97 0.88 NA NA NA NA 0.64 NA NA NA NA 0.81 NA NA NA NA NA 7 19.52 NA NA 0.03 NA NA NA NA NA 10 11.03 NA NA 0.63 NA NA NA NA NA 8 18.12 NA NA 0.61 NA NA NA NA 0.74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
615 615 2 0 1 1 2 <NA> NA <NA> NA 12 NA NA 0 0 NA <NA> NA <NA> NA <NA> NA NA NA 0 0 0 2 NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> 0.76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.23 NA NA NA NA 0.94 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
464 464 4 2 2 1 1 0 1 5 4 NA NA NA 1 0 0 3 NA <NA> NA <NA> NA NA NA 2 2 NA <NA> NA <NA> NA <NA> 13 NA NA 2 0 NA <NA> NA <NA> NA <NA> NA NA 1.24 2 4 2 3 1 0 1 4 0.55 NA NA NA NA NA 1 8.38 NA NA NA NA NA NA NA NA NA NA NA NA 0.33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1.7 NA 10 7.98 NA NA 0.96 NA NA NA NA NA NA NA 7 7.59 NA
507 507 3 0 2 5 2 1 1 <NA> NA 21 NA NA 1 0 0 3 NA <NA> NA <NA> NA NA 3.96 0 5 0 1 NA <NA> NA <NA> NA NA NA 0 2 NA <NA> NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> 0.8 NA NA NA NA NA 5 14.83 NA NA NA NA NA NA NA NA NA NA NA NA 0.72 NA NA NA NA 0.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
114 114 3 0 1 1 2 2 2 <NA> NA 60 NA NA 1 0 NA <NA> NA <NA> NA <NA> NA NA NA 0 2 1 2 NA <NA> NA <NA> NA NA NA 0 4 1 5 NA <NA> NA <NA> NA NA NA NA <NA> NA <NA> NA <NA> NA <NA> 0.27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.21 NA NA NA NA 0.38 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 1.08 0.55 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
47 47 4 4 4 0 2 1 1 2 2 NA 1.93 NA 1 0 0 4 0 0 2 4 6 NA NA 2 0 0 1 NA <NA> NA <NA> NA NA NA 1 2 NA <NA> NA <NA> NA <NA> NA NA NA 2 0 1 1 NA <NA> NA <NA> 0.04 NA NA NA NA NA NA NA 7 5.75 0.07 NA NA NA NA NA NA NA 10 5.77 0.75 NA NA NA NA 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.82 NA NA NA NA 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
