.ID. NumStates S0 NumConnections0 S1 NumConnections1   S2 NumConnections2   S3 NumConnections3 RWM0 ATT0 REP0 N0x0 C0x0 N0x1 C0x1 N0x2 C0x2 N0x3 C0x3 RWM1 ATT1 REP1 N1x0 C1x0 N1x1 C1x1 N1x2 C1x2 N1x3 C1x3 RWM2 ATT2 REP2 N2x0 C2x0 N2x1 C2x1 N2x2 C2x2 N2x3 C2x3 RWM3 ATT3 REP3 N3x0 C3x0 N3x1 C3x1 N3x2 C3x2 N3x3 C3x3 P0x0 B0x0 W0x0 BI0x0 WI0x0 P0x1 B0x1  W0x1 BI0x1 WI0x1 P0x2 B0x2 W0x2 BI0x2 WI0x2 P0x3 B0x3 W0x3 BI0x3 WI0x3 P1x0 B1x0 W1x0 BI1x0 WI1x0 P1x1 B1x1 W1x1 BI1x1 WI1x1 P1x2 B1x2 W1x2 BI1x2 WI1x2 P1x3 B1x3 W1x3 BI1x3 WI1x3 P2x0 B2x0 W2x0 BI2x0 WI2x0 P2x1 B2x1 W2x1 BI2x1 WI2x1 P2x2 B2x2 W2x2 BI2x2 WI2x2 P2x3 B2x3 W2x3 BI2x3 WI2x3 P3x0 B3x0 W3x0 BI3x0 WI3x0 P3x1 B3x1 W3x1 BI3x1 WI3x1 P3x2 B3x2 W3x2 BI3x2 WI3x2 P3x3 B3x3 W3x3 BI3x3 WI3x3 .PARENT.
288  288         2  0               2  2               1 <NA>              NA <NA>              NA    4   NA   NA    0    0    0    3   NA <NA>   NA <NA>   NA   NA   NA    0    4   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA> 0.87   NA   NA    NA    NA   NA    5 17.94    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA     4  6.38   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
862  862         4  2               2  1               4  5               3  0               2   NA   NA   NA    2    2    0    1   NA <NA>   NA <NA>   NA   NA   NA    2    4    0    5    0    5    0    2   NA   NA 3.81    1    5    2    1    2    1   NA <NA>    6   NA   NA    2    3    1    0   NA <NA>   NA <NA> 0.63   NA   NA    NA    NA 0.24   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    10  8.39 0.43   NA   NA    NA    NA 0.88   NA   NA    NA    NA 0.43   NA   NA    NA    NA 0.94   NA   NA    NA    NA 0.94   NA   NA    NA    NA 0.35   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA    9 13.06    NA    NA 0.83   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
546  546         1  0              NA <NA>              NA <NA>              NA <NA>              NA    4   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
710  710         2  0               2  3               4 <NA>              NA <NA>              NA    3   NA   NA    0    3    0    2   NA <NA>   NA <NA>   NA   NA   NA    0    4    0    3    0    4    0    2   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA    6 13.25    NA    NA 0.93   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA     4   1.4   NA    7 16.68    NA    NA   NA   NA   NA     6  9.06 0.14   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
608  608         2  0               2  0               3 <NA>              NA <NA>              NA   52   NA   NA    0    5    0    0   NA <NA>   NA <NA>   38   NA   NA    0    3    0    5    0    5   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA> 0.84   NA   NA    NA    NA 0.22   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA    5 14.7    NA    NA 0.65   NA   NA    NA    NA 0.36   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
767  767         1  0              NA <NA>              NA <NA>              NA <NA>              NA    4   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
400  400         3  0               1  0               2  0               3 <NA>              NA   65   NA   NA    0    5   NA <NA>   NA <NA>   NA <NA>   36   NA   NA    1    2    1    5   NA <NA>   NA <NA>   49   NA   NA    0    0    1    4    0    5   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA>  0.9   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA 0.22   NA   NA    NA    NA 0.73   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA 0.53   NA   NA    NA    NA   NA   NA   NA     8 12.26 0.05   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
178  178         4  0               1  2               3  0               1  2               2   23   NA   NA    1    1   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA    2    0    1    5    1    1   NA <NA>    4   NA   NA    1    0   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA    2    5    2    0   NA <NA>   NA <NA> 0.36   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA 0.04   NA   NA    NA    NA 0.69   NA   NA    NA    NA 0.01   NA   NA    NA    NA   NA   NA   NA    NA    NA 0.82   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA 0.91   NA   NA    NA    NA 0.77   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
533  533         4  3               4  0               1  3               4  4               2   NA   NA   NA    2    5    2    3    0    5    2    1    4   NA   NA    2    3   NA <NA>   NA <NA>   NA <NA>   NA   NA   NA    1    2    0    4    0    3    0    0   NA 1.54   NA    0    2    1    4   NA <NA>   NA <NA> 0.33   NA   NA    NA    NA   NA   10 6.35    NA    NA 0.06   NA   NA    NA    NA 0.28   NA   NA    NA    NA   NA    6 7.64    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA  0.5   NA   NA    NA    NA   NA   NA   NA     4  2.65   NA    7 6.98    NA    NA 0.78   NA   NA    NA    NA 0.37   NA   NA    NA    NA   NA   NA   NA     5   2.1   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
159  159         3  3               4  2               2  0               2 <NA>              NA   NA   NA   NA    1    1    1    4    1    2    1    1   NA   NA   NA    1    5    0    0   NA <NA>   NA <NA>    2   NA   NA    0    3    0    2   NA <NA>   NA <NA>   NA   NA   NA   NA <NA>   NA <NA>   NA <NA>   NA <NA> 0.48   NA   NA    NA    NA   NA   NA   NA     4 16.91 0.27   NA   NA    NA    NA 0.33   NA   NA    NA    NA 0.36   NA   NA    NA    NA 0.42   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA    6 18.24    NA    NA  0.8   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA   NA   NA   NA    NA    NA       NA
